rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.115578796,1,San Marcos Gambusia,Gambusia georgei,Fish,Endangered,Endangered,GX,SX,5.5,1996/02/14 00:00:00,5C,53100,17573,8950,79623,15,50000,1020,5
0.225344505,0,Sharpnose Shiner,Notropis oxyrhynchus,Fish,,Endangered,G3,S3,3,,UNK,64000,2450,0,66450,2,56600,33225,
0.954458722,0,Shovelnose Sturgeon,Scaphirhynchus platorynchus,Fish,Threatened,Not listed,G4,S2,4,,,29000,271634,0,300634,5,92547,63000,
0.775262282,0,Smalleye Shiner,Notropis buccula,Fish,,Endangered,G2,S2,2,,UNK,64000,4900,0,68900,2,56700,34450,
0.352052104,0,Smalltooth Sawfish,Pristis pectinata,Fish,Endangered,Endangered,G1G3,SNR,2,,,1300,10323589,119840,10444729,13,1555876,722706.5,
0.936821208,0,Toothless Blindcat,Trogloglanis pattersoni,Fish,Threatened,Not listed,G1G2,S1,1.5,,,,,,,,,,
0.590108663,0,Widemouth Blindcat,Satan eurystomus,Fish,Threatened,Not listed,G1G2,S1,1.5,,,,,,,,,,
0.493649002,0,A Ground Beetle,Rhadine exilis,Invertebrate,,Endangered,G3,S1,3,2011/09/12 00:00:00,2C,297000,1286884,14012,1597896,14,262600,90276,2
0.824448827,0,A Ground Beetle,Rhadine infernalis,Invertebrate,,Endangered,G2G3,S1,2.5,2011/09/12 00:00:00,2C,441500,1567665,19114,2028279,15,417345,109252,2
0.220498508,0,American Burying Beetle,Nicrophorus americanus,Invertebrate,,Endangered,G2G3,S1,2.5,1991/09/27 00:00:00,5C,4810216,8875201,1165880,14851297,15,2140182,639848,5
0.258651768,0,Bone Cave Harvestman,Texella reyesi,Invertebrate,,Endangered,G2G3,S2,2.5,1994/08/25 00:00:00,2C,1655600,1586106,21051,3262757,15,1361780,28350,2
0.099461985,1,Bracken Bat Cave Meshweaver,Cicurina venii,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,2C,371498,415345,10151,796994,14,342345,8985.5,2
0.276062383,0,Coffin Cave Mold Beetle,Batrisodes texanus,Invertebrate,,Endangered,G1G2,S1,1.5,1994/08/25 00:00:00,2C,209115,1334376,12014,1555505,15,1310000,4240,2
