ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Clemmys muhlenbergii,7116249,13772828,2053845,22942922,15,2545988,638002.5
Clermontia drepanomorpha,192056,4447,10684,207187,15,36100,10685
Clermontia lindseyana,544917,135583,30712,711212,15,162713,32103
Clermontia oblongifolia ssp. brevipes,87133,754,7275,95162,14,17304,5305
Clermontia oblongifolia ssp. mauiensis,135637,24192,4782,164611,14,30742,11506
Clermontia peleana,317733,111497,24962,454192,15,125197,29102
Clermontia pyrularia,507041,75577,15192,597810,15,160599,25842
Clermontia samuelii,72481,84017,6439,162937,15,21400,10531
Clitoria fragrans,109422,369000,23416,501838,15,101122,32900
Coccyzus americanus,885988,5946896,21100,6853984,1,6853984,6853984
Colinus virginianus ridgwayi,1322580,82755,42560,1447895,15,297500,27000
Colubrina oppositifolia,285393,535513,65437,886343,15,105378,60447
Columba inornata wetmorei,481000,40398,131700,653098,15,244000,22200
Conradina brevifolia,128200,3600,38216,170016,15,32750,7000
Conradina etonia,103603,2000,90600,196203,15,63500,6500
Conradina glabra,57057,107281,33200,197538,13,49200,12500
Conradina verticillata,718300,122627,1962,842889,15,163364,33933
Consolea corallicola,84458,5400,900,90758,2,80358,45379
Cordia bellonis,87700,100,0,87800,15,14000,5500
Cordylanthus maritimus ssp. maritimus,661763,617164,1600,1280527,15,258084,68673
Cordylanthus mollis ssp. mollis,735357,124600,90500,950457,14,189400,56233
Cordylanthus palmatus,668574,1195758,11000,1875332,15,739666,67245
Cordylanthus tenuis ssp. capillaris,130211,4089,0,134300,10,48500,2592.5
Cornutia obovata,73100,100,0,73200,14,14000,3000
Corvus hawaiiensis,10537614,190281,683157,11411052,15,1537659,749735
Corvus kubaryi,7455964,7328533,86200,14870697,15,2389692,873803
Corvus leucognaphalus,54500,65290,0,119790,11,75000,5500
Corynorhinus (=Plecotus) townsendii ingens,1656899,1527438,105599,3289936,15,495677,157950
Corynorhinus (=Plecotus) townsendii virginianus,1078902,2433312,445173,3957387,15,682250,192811
Coryphantha minima,13525,0,5550,19075,11,8000,1000
Coryphantha ramillosa,9233,12200,5450,26883,14,5100,1550
Coryphantha robbinsiorum,103550,750,4300,108600,4,61500,22875
Coryphantha scheeri var. robustispina,667767,1316710,42550,2027027,15,417000,116200
Coryphantha sneedii var. leei,37200,98570,200,135970,15,23500,8720
Coryphantha sneedii var. sneedii,41300,778830,16446,836576,15,150900,37000
Cottus paulus (=pygmaeus),117400,25999,21112,164511,15,35473,8500
Cottus specus,54707,37500,0,92207,2,50200,46103.5
Cranichis ricartii,51500,200,0,51700,14,9000,1750
Crax alberti,0,9100,0,9100,1,9100,9100
Crenichthys baileyi baileyi,384612,313653,14800,713065,15,237981,44668
Crenichthys baileyi grandis,372978,83923,26600,483501,15,71084,27143
Crenichthys nevadae,1213380,188683,134700,1536763,15,232726,65486
Crescentia portoricensis,64100,519,0,64619,14,10124,3000
Crocodylus acutus,784117,5484844,176473,6445434,15,2236345,171736
Crocodylus cataphractus,0,4000,0,4000,1,4000,4000
Crocodylus niloticus,250,0,0,250,1,250,250
Crocodylus siamensis,250,0,0,250,1,250,250
Crotalaria avonensis,148700,3700,94100,246500,15,44000,13500
Crotalus willardi obscurus,221625,784780,28380,1034785,15,290550,34530
Cryptantha crassipes,9900,600,40474,50974,12,23640,1325
Cryptobranchus alleganiensis bishopi,336145,108579,156400,601124,4,240900,132903
Crystallaria cincotta,133460,52633,5050,191143,3,125660,45151
Ctenitis squamigera,318500,263702,2896,585098,15,166161,26185
Cucurbita okeechobeensis ssp. okeechobeensis,304020,35957,19300,359277,14,232781,10358
Cumberlandia monodonta,273231,260661,47250,581142,4,227158,129033
Cupressus abramsiana,273095,300,250,273645,11,110775,11250
Cupressus goveniana ssp. goveniana,150298,5400,0,155698,10,65087,7657.5
Cyanea acuminata,252968,993114,5498,1251580,15,177630,74270
Cyanea asarifolia,111069,1577,6706,119352,15,37012,5000
Cyanea asplenifolia,26554,7042,2796,36392,3,14887,11167
Cyanea calycina,35534,1042,2796,39372,3,24137,8068
Cyanea copelandii ssp. copelandii,46686,954,5575,53215,15,10566,1700
Cyanea copelandii ssp. haleakalaensis,91457,64466,4030,159953,15,33989,8587
Cyanea crispa,14796,160333,0,175129,1,175129,175129
Cyanea dolichopoda,48441,1577,2796,52814,6,17105,7743.5
Cyanea dunbariae,13998,0,2131,16129,1,16129,16129
Cyanea duvalliorum,41929,1342,2796,46067,3,23628,12987
