ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Lanx sp.,1128104,286635,6973,1421712,15,203174,101542
Lasiurus cinereus semotus,4435184,5939970,102100,10477254,15,1515820,657465
Lasmigona decorata,2965412,1409072,1982874,6357358,15,991892,354860
Lasthenia burkei,545823,4327149,10100,4883072,15,3819500,36661
Lasthenia conjugens,1166780,3343198,6800,4516778,15,1855592,139236
Layia carnosa,364791,1561133,700,1926624,15,312913,121947
Leavenworthia crassa,50400,1400,0,51800,2,50500,25900
Leavenworthia exigua laciniata,95500,10180,0,105680,2,86220,52840
Leavenworthia texana,16500,300,0,16800,2,9600,8400
Lemiox rimosus,233266,1099602,1100,1333968,5,731933,11000
"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)",0,3900,0,3900,1,3900,3900
Leontopithecus spp.,0,6600,0,6600,1,6600,6600
Leopardus (=Felis) pardalis,2424153,3749247,505282,6678682,15,1016946,291026
Leopardus (=Felis) tigrinus,0,1128024,0,1128024,1,1128024,1128024
Leopardus (=Felis) wiedii,0,150,0,150,1,150,150
Lepanthes eltoroensis,56700,200,0,56900,14,11800,1750
Lepidium arbuscula,130873,370412,11767,513052,15,100912,18851
Lepidium barnebyanum,65700,4585,400,70685,15,22000,3000
Lepidium papilliferum,1336214,970326,51217,2357757,3,1045487,674205
Lepidochelys kempii,5523997,61511605,2359164,69394766,15,6664434,4461620
Lepidochelys olivacea,1613132,33762774,500,35376406,15,5202856,1086114.5
Lepidomeda albivallis,1270592,102869,48950,1422411,15,219863,65858
Lepidomeda mollispinis pratensis,518633,643034,27500,1189167,15,430000,49168
Lepidomeda vittata,1031060,549660,333080,1913800,15,474080,80400
Lepidurus packardi,6792164,11019351,7000,17818515,14,3431456,1071889.5
Leptocereus grantianus,88600,1190,0,89790,14,15100,4950
Leptodea leptodon,1222519,666915,264499,2153933,14,390100,134628
Leptonycteris curasoae yerbabuenae,790081,6154403,509572,7454056,15,1476106,430488
Leptonycteris nivalis,139200,931999,55405,1126604,15,197100,51682
Leptoptilos dubius,794,0,0,794,1,794,794
Leptoxis ampla,53000,6692,1798,61490,13,15000,2100
Leptoxis foremani,8950,6484,5000,20434,6,7600,2125
Leptoxis plicata,368700,5128,3000,376828,12,184000,11250
Leptoxis taeniata,111400,11312,0,122712,12,28220,8950
Lepyrium showalteri,194900,5161,1798,201859,10,166591,1838.5
Lespedeza leptostachya,554800,62605,104234,721639,15,84000,47820
Lesquerella congesta,146795,221801,7055,375651,15,78762,19151
Lesquerella kingii ssp. bernardina,90553,412853,0,503406,14,174230,16964.5
Lesquerella lyrata,17000,3348,0,20348,9,9000,900
Lesquerella pallida,294320,118700,15836,428856,15,87500,19000
Lesquerella perforata,213550,64179,1790,279519,15,45077,15790
Lesquerella thamnophila,164370,290797,39810,494977,15,229000,17021
Lesquerella tumulosa,55966,70927,400,127293,15,37750,3000
Lessingia germanorum (=L.g. var. germanorum),57292,143210,0,200502,13,41934,16000
Liatris helleri,37900,50766,7970,96636,15,9960,6578
Liatris ohlingerae,137170,6216,83875,227261,15,38400,11000
Lilaeopsis schaffneriana var. recurva,568112,4494946,24450,5087508,14,808674,331406.5
Lilium occidentale,1844317,733338,32500,2610155,15,530513,140210
Lilium pardalinum ssp. pitkinense,88769,400,0,89169,9,26680,5500
Limnanthes floccosa ssp. californica,659624,484155,5000,1148779,15,413694,57860
Limnanthes pumila grandiflora,32500,0,0,32500,1,32500,32500
Limnanthes vinculans,440797,500200,15200,956197,14,483660,29265
Lindera melissifolia,703832,8263296,184231,9151359,15,1652480,387310
Linum carteri carteri,86737,7600,1200,95537,1,95537,95537
Lioplax cyclostomaformis,60900,19715,4298,84913,12,15198,7323
Lipochaeta fauriei,49081,3414,16946,69441,15,12500,4325
Lipochaeta lobata var. leptophylla,60101,46818,3343,110262,14,19800,8391.5
Lipochaeta micrantha,69768,954,10846,81568,14,15272,4050
Lipochaeta venosa,103149,2144213,7227,2254589,15,452510,164886
Lipochaeta waimeaensis,67295,8073,16446,91814,15,21969,3500
Lirceus usdagalun,347765,5100,9250,362115,15,53600,21250
Lithophragma maximum,55643,1686160,0,1741803,13,400489,73051
Lobelia koolauensis,5031,160333,2131,167495,1,167495,167495
Lobelia monostachya,98356,1577,14683,114616,15,18552,6343
Lobelia niihauensis,106516,293931,10965,411412,15,77931,18515
Lobelia oahuensis,237826,906720,11534,1156080,15,178246,74553
Lomatium bradshawii,1530814,736182,1300,2268296,15,300116,139367
Lomatium cookii,820736,947491,21429,1789656,13,310689,130678
Loxioides bailleui,8508048,11560592,1085086,21153726,15,3794164,1080830
Loxodonta africana,5574252,5619652,0,11193904,1,11193904,11193904
Loxops caeruleirostris,681722,119667,1000,802389,6,170210,136592.5
Loxops coccineus,1743991,2022496,14374,3780861,15,1419031,60988
Loxops ochraceus,3646,1000,3000,7646,1,7646,7646
Lupinus aridorum,303504,18374,175800,497678,14,124250,25825
Lupinus nipomensis,154199,0,0,154199,12,53798,6325.5
Lupinus sulphureus ssp. kincaidii,1026040,1286032,1300,2313372,4,761052,610093.5
Lupinus tidestromii,56464,264644,200,321308,15,70000,13839
Lycaeides argyrognomon lotis,103085,300,0,103385,12,41000,4240
Lycaeides melissa samuelis,4379212,7100392,3511909,14991513,15,1729106,942887
Lycaon pictus,20000,20000,0,40000,1,40000,40000
Lynx (=Felis) rufus escuinapae,0,1000,0,1000,1,1000,1000
Lynx canadensis,15701611,36764751,7451211,59917573,15,6556340,4057162
Lyonia truncata var. proctorii,63800,470,0,64270,12,11000,6000
Lysimachia asperulaefolia,363500,2234122,49693,2647315,14,418853,185032
Lysimachia daphnoides,110054,1577,3305,114936,6,31337,17177.5
Lysimachia filifolia,48025,1577,5841,55443,14,10821,3740
Lysimachia iniki,60988,1577,2796,65361,6,17517,9987.5
Lysimachia lydgatei,77954,1577,4492,84023,14,19083,4082.5
Lysimachia maxima,79759,3577,9126,92462,15,17306,5079
Lysimachia pendens,72046,1577,3605,77228,6,18470,14233
Lysimachia scopulensis,46167,1577,4215,51959,6,16058,7656.5
Lysimachia venosa,52805,1577,2796,57178,6,16059,8145.5
Macbridea alba,91500,419849,9600,520949,15,122562,29600
Macrocephalon maleo,47799,47799,0,95598,1,95598,95598
Malacothamnus clementinus,72983,2253598,0,2326581,14,513552,101784.5
Malacothamnus fasciculatus var. nesioticus,115589,92433,0,208022,12,74777,8271.5
Malacothrix indecora,24778,74019,0,98797,14,28639,5195
Malacothrix squalida,25603,23201,0,48804,8,29464,1551.5
Manduca blackburni,1456512,299718,869,1757099,15,255861,106078
Manihot walkerae,308550,255199,29930,593679,15,255600,25000
Manis temminckii,10000,0,0,10000,1,10000,10000
Margaritifera hembeli,1805500,537624,53912,2397036,15,466356,120850
Margaritifera marrianae,46600,3344,3500,53444,3,46600,4435
Marshallia mohrii,68700,51354,72200,192254,14,39200,11350
Marsilea villosa,98631,122163,6936,227730,15,48797,16653
Masticophis lateralis euryxanthus,2901816,1604066,2000,4507882,15,875360,235560
Meda fulgida,1049053,11657674,1461148,14167875,15,3436727,733174
Medionidus acutissimus,208850,430037,39775,678662,15,154489,36900
Medionidus parvulus,175000,242111,40075,457186,15,149989,21399
Medionidus penicillatus,1080370,329509,37000,1446879,15,263400,88708
Medionidus simpsonianus,721523,180710,27000,929233,15,176600,57000
Megalagrion leptodemas,22079,0,0,22079,3,7608,7321
Megalagrion nesiotes,102192,0,0,102192,6,32773,15366
Megalagrion nigrohamatum nigrolineatum,86399,0,0,86399,3,50185,23499
Megalagrion oceanicum,39106,0,0,39106,3,22992,8754
Megalagrion pacificum,72817,26000,0,98817,6,36773,12173
Megapodius laperouse,865868,1647315,186000,2699183,15,564751,137238
Megaptera novaeangliae,87823,55360292,347870,55795985,15,7921457,4033919
Melamprosops phaeosoma,721771,43662,210556,975989,15,170000,64798
Melanthera kamolensis,11989,0,0,11989,1,11989,11989
Melanthera tenuifolia,26481,507863,2796,537140,4,168654,129655
Melicope adscendens,280807,68877,13220,362904,15,87100,18250
Melicope balloui,99415,22915,1080,123410,15,29742,6513
Melicope christophersenii,21325,8877,2796,32998,3,17726,7669
Melicope degeneri,117783,1577,3388,122748,6,30780,23047.5
Melicope haupuensis,86890,9536,6231,102657,15,23474,5351
Melicope hiiakae,84937,918,2796,88651,3,55943,16496
Melicope knudsenii,264590,68877,8512,341979,15,83800,18140
Melicope lydgatei,141579,888301,10640,1040520,15,174586,65226
Melicope makahae,19399,1042,2796,23237,3,8753,7705
Melicope mucronulata,181494,16932,12734,211160,15,59100,7579
Melicope munroi,64829,6077,3343,74249,14,15731,3450
Melicope ovalis,44755,125926,4095,174776,15,29250,9100
Melicope pallida,56980,55790,20606,133376,15,29783,7761
Melicope paniculata,74944,1577,3283,79804,6,24318,13047
Melicope puberula,85605,1578,2796,89979,6,29713,14266.5
Melicope quadrangularis,61736,1579,3643,66958,15,14540,3500
Melicope reflexa,52613,1580,3343,57536,14,15690,3300
Melicope saint-johnii,31731,26993,5011,63735,12,15677,668.5
Melicope zahlbruckneri,97553,203034,10405,310992,15,67681,17600
Menidia extensa,176850,19992,236350,433192,15,237520,11260
Mentzelia leucophylla,329107,51213,0,380320,11,141496,20400
Mesodon clarki nantahala,18000,6616,650,25266,11,6700,1800
Mezoneuron kavaiense,75507,0,0,75507,1,75507,75507
Microhexura montivaga,171857,67716,6273,245846,15,39800,13500
Microtus californicus scirpensis,948795,390070,2780,1341645,14,451034,38651.5
Microtus mexicanus hualpaiensis,92040,189920,47880,329840,15,58585,14000
Microtus pennsylvanicus dukecampbelli,118617,130090,15000,263707,15,106858,6000
Mimulus michiganensis,115200,17994,4000,137194,6,86464,11754
Mirabilis macfarlanei,1670792,656882,96010,2423684,15,285421,167194
Mitracarpus maxwelliae,51400,100,0,51500,14,10000,3250
Mitracarpus polycladus,51150,100,0,51250,14,10000,3000
Moapa coriacea,3820902,488359,61250,4370511,15,991671,183473
Moho braccatus,78120,0,556,78676,11,27482,6129
Monachus monachus,3256,0,0,3256,1,3256,3256
Monachus schauinslandi,707410,52789852,42400,53539662,15,5827651,3072161
Monachus tropicalis,0,544713,0,544713,6,380000,5800
Monarcha takatsukasae,72625,0,4500,77125,4,25300,20311.5
Monardella viminea,446425,380837,0,827262,4,487334,156302.5
Monolopia (=Lembertia) congdonii,377276,945869,300,1323445,15,293677,65130
Mucuna sloanei persericea,22863,0,2796,25659,3,9591,8187
Mustela nigripes,20667540,17975540,6708527,45351607,15,5462546,1563118
Myadestes lanaiensis rutha,37876,3000,3556,44432,12,8377,2634
Myadestes myadestinus,80770,17221,556,98547,13,27100,4680
Myadestes palmeri,2063817,165489,418199,2647505,15,308758,190729
Mycetophyllia ferox,0,442513,0,442513,1,442513,442513
Mycteria americana,7776477,21579475,451413,29807365,15,6872943,1622372
Myiagra freycineti,14728,0,0,14728,4,8227,2400.5
Myotis grisescens,8120324,15008408,1139954,24268686,15,2851238,1519867
Myotis septentrionalis,2090180,9944245,153979,12188404,1,12188404,12188404
Myotis sodalis,27420719,113873982,4414328,145709029,15,16543137,10256927
Myrcia paganii,60150,265,0,60415,14,10100,2250
Myrsine juddii,90586,889121,5011,984718,15,168118,64726
Myrsine knudsenii,64778,1577,5456,71811,6,16429,12199
Myrsine linearifolia,121258,87790,20174,229222,15,67383,8451
Myrsine mezii,70487,1577,4864,76928,6,17246,13166.5
Myrsine vaccinioides,24556,1042,2796,28394,3,11366,8687
Naemorhedus (=Capricornis) sumatraensis,500,0,0,500,1,500,500
Nasalis larvatus,1000,0,0,1000,1,1000,1000
Navarretia fossalis,3089507,1687584,2000,4779091,15,1831394,127527
Navarretia leucocephala ssp. pauciflora (=N. pauciflora),116066,0,0,116066,8,66000,7730
Navarretia leucocephala ssp. plieantha,103266,23900,1500,128666,10,68550,8278
Neofelis nebulosa,0,61200,0,61200,1,61200,61200
Neoleptoneta microps,356413,27550,19535,403498,15,204700,10085
Neoleptoneta myopica,5000,730,2500,8230,3,5930,1300
Neonympha mitchellii francisci,254975,2141291,16225,2412491,15,405700,148458
Neonympha mitchellii mitchellii,1038273,101481,371500,1511254,15,232477,81558
Neoseps reynoldsi,1997048,2982851,0,4979899,15,1059474,148397
Neostapfia colusana,293466,231185,3000,527651,15,173400,12700
Neotoma floridana smalli,1211365,476972,50300,1738637,15,204931,117165
Neotoma fuscipes riparia,377734,1996958,19000,2393692,15,1094184,84500
Neraudia angulata,96162,1482285,6926,1585373,15,198545,114477
Neraudia ovata,302393,2377543,31552,2711488,15,454010,182636
Neraudia sericea,99160,24465,8652,132277,14,24154,6950
Nerodia clarkii taeniata,119822,16989,0,136811,15,26250,7577
Nerodia erythrogaster neglecta,1328800,865364,74600,2268764,15,837385,80983
Nerodia paucimaculata,648513,73893,11634,734040,12,293052,30356
Nerodia sipedon insularum,393700,60954,250604,705258,11,103500,56854
Nesogenes rotensis,155489,623,100,156212,12,50423,8662.5
Newcombia cumingi,99263,264,0,99527,3,41897,32137
Nicrophorus americanus,4810216,8875201,1165880,14851297,15,2140182,639848
Nitrophila mohavensis,453535,293913,0,747448,13,138267,50905
Nolina brittoniana,106570,142297,26475,275342,15,44582,19400
Nothocestrum breviflorum,341332,921674,27469,1290475,15,339894,53520
Nothocestrum peltatum,148401,42677,8055,199133,14,42200,7124.5
Nototrichium humile,108144,1528301,6054,1642499,15,183142,115208
Notropis albizonatus,355700,32776,720,389196,15,111816,17161
Notropis buccula,64000,4900,0,68900,2,56700,34450
Notropis cahabae,96900,161552,6000,264452,14,173511,3336
Notropis girardi,1001630,1255380,73623,2330633,15,273082,131510
Notropis mekistocholas,699350,170532,236090,1105972,15,262690,61100
Notropis oxyrhynchus,64000,2450,0,66450,2,56600,33225
Notropis simus pecosensis,695560,14933055,38717,15667332,15,2481450,1028500
Notropis topeka (=tristis),6056238,4086144,1351670,11494052,15,2013147,577867.5
Noturus baileyi,362173,169961,38350,570484,15,82746,20575
Noturus crypticus,83400,4328,0,87728,5,45900,8596
Noturus flavipinnis,662338,329531,84936,1076805,15,179612,16700
Noturus placidus,575832,1449985,134700,2160517,15,323913,124549
Noturus stanauli,314200,53092,27633,394925,15,144000,13825
Noturus trautmani,24200,13600,3000,40800,12,13000,1160
Numenius borealis,22600,455558,11254,489412,15,350090,5400
Numenius tenuirostris,794,0,0,794,1,794,794
Oarisma poweshiek,60000,3850,5300,69150,1,69150,69150
Obovaria retusa,474950,479543,18600,973093,14,172600,63546.5
Ochrosia kilaueaensis,39141,4270,6549,49960,15,8848,2674
Odocoileus virginianus clavium,1672503,5964370,0,7636873,15,4018400,102210
Odocoileus virginianus leucurus,5536993,2358625,286862,8182480,15,2324063,279046
Oenothera avita ssp. eurekensis,336842,159435,500,496777,14,104016,29353
Oenothera deltoides ssp. howellii,547646,38700,6500,592846,14,131000,33118
Oncorhynchus (=Salmo) kisutch,13692803,462900490,57803618,534396911,15,24721640,9794895
Oncorhynchus (=Salmo) mykiss,49469260,2266182713,91890731,2407542704,15,67559317,8039667
Oncorhynchus (=Salmo) nerka,539360,356197663,14846632,371583655,15,25098251,11288666
Oncorhynchus (=Salmo) tshawytscha,115921471,2534201208,185124216,2835246895,15,80004247,17631540
Oncorhynchus aguabonita whitei,691511,948219,25315,1665045,15,734500,64207
Oncorhynchus apache,5965133,1370149,2281555,9616837,15,1383420,445500
Oncorhynchus clarki stomias,1130002,2695759,2470307,6296068,15,795393,361132
Oncorhynchus clarkii henshawi,13941944,9289632,317900,23549476,4,9396277,4781061
Oncorhynchus clarkii seleniris,636402,3300,27910,667612,4,434976,92528
Oncorhynchus gilae,6251955,292208,1558535,8102698,15,1817900,185500
Oncorhynchus keta,14400,29497742,5777238,35289380,2,11329733,8925161
Opuntia treleasei,621370,186775,11100,819245,15,255966,29900
Orbicella annularis,0,443246,0,443246,1,443246,443246
Orbicella faveolata,0,446551,0,446551,1,446551,446551
Orbicella franksi,0,408146,0,408146,1,408146,408146
Orcinus orca,41006,18829478,220700,19091184,9,3990517,2314206
Orconectes shoupi,401740,398232,2000,801972,15,365850,29000
Orcuttia californica,588129,376599,5900,970628,15,436980,43668
Orcuttia inaequalis,230366,241313,12050,483729,15,190900,22100
Orcuttia pilosa,274972,294957,1900,571829,15,161100,16190
Orcuttia tenuis,843825,604223,21600,1469648,15,272726,89402
Orcuttia viscida,563577,121684,1700,686961,13,99620,43085
Oregonichthys crameri,3191718,4450672,49820,7692210,15,1151629,458326
Oreomystis bairdi,829776,126234,1000,957010,6,228731,163021
Oreomystis mana,1216862,700399,5656,1922917,15,366600,102588
Orthalicus reses (not incl. nesodryas),174232,26540,0,200772,15,30370,11400
Oryx dammah,0,36950,0,36950,1,36950,36950
Oryx leucoryx,0,1300,0,1300,1,1300,1300
Oryzomys palustris natator,213386,98001,0,311387,15,69752,14083
Osmoxylon mariannense,162948,623,100,163671,12,50423,8747
Ottoschulzia rhodoxylon,154200,28758,0,182958,14,25500,12350
Ovis canadensis nelsoni,1858951,1276000,42205,3177156,8,1017980,276959
Ovis canadensis sierrae,2230135,1510869,850000,4591004,11,1241568,402530
Oxyloma haydeni kanabensis,191739,1128184,302675,1622598,15,213599,87967
Oxypolis canbyi,469027,239616,94177,802820,15,128800,46428
Oxytheca parishii var. goodmaniana,111063,505408,0,616471,15,175230,22400
Oxytropis campestris var. chartacea,65200,10538,27600,103338,15,17400,5378
Pacifastacus fortis,940588,28319,37180,1006087,15,176400,56000
Packera franciscana,18125,47915,5300,71340,4,23025,21956.5
Palaemonetes cummingi,10100,6077,0,16177,6,7000,2450
Palaemonias alabamae,50600,927216,4000,981816,15,243000,36232
Palaemonias ganteri,113900,187180,300,301380,15,45100,17942
Palmeria dolei,601356,64975,85656,751987,15,123316,44800
Pan paniscus,0,575135,0,575135,1,575135,575135
Pan troglodytes,575135,0,0,575135,1,575135,575135
Panicum fauriei var. carteri,41498,56702,7259,105459,15,19313,6779
Panicum niihauense,216031,241055,8432,465518,15,137192,12261
Panthalops hodgsonii,750,0,0,750,1,750,750
Panthera onca,1662978,1980508,447980,4091466,15,803685,196600
Panthera pardus,13000,1800,0,14800,1,14650,7400
Panthera tigris,1122524,15300,0,1137824,1,1137824,1137824
Paronychia chartacea,153970,7851,24159,185980,15,33555,12591
Paroreomyza flammea,48922,5789,3556,58267,12,10109,4590
Paroreomyza maculata,165825,29283,556,195664,14,118140,6649
Partulina semicarinata,47382,0,0,47382,3,28910,12593
Partulina variabilis,47656,0,0,47656,3,29184,12593
Parvisedum leiocarpum,28912,0,100,29012,8,7732,3690
Pavona diffluens,0,350392,0,350392,1,350392,350392
Pedicularis furbishiae,232377,100,60683,293160,15,70602,16850
"Pediocactus (=Echinocactus,=Utahia) sileri",93995,161701,11100,266796,13,34002,20000
Pediocactus bradyi,71634,166213,15950,253797,15,54000,11520
Pediocactus despainii,160532,360659,1200,522391,15,85100,34100
Pediocactus knowltonii,88702,158316,7055,254073,15,31554,18631
Pediocactus peeblesianus fickeiseniae,8000,28500,4000,40500,2,21500,20250
Pediocactus peeblesianus var. peeblesianus,6425,225884,15700,248009,8,104090,16463
Pediocactus winkleri,120600,461535,1000,583135,15,110950,31828
Pegias fabula,1365189,338464,168800,1872453,15,458800,80327
Pelecanus occidentalis,2894642,2612514,232259,5739415,9,837221,597183
Peltophryne lemur,367900,16530,60619,445049,14,137000,26693
Penstemon debilis,147215,39760,7055,194030,5,66730,27844
Penstemon haydenii,648788,746166,12300,1407254,15,218003,70255
Penstemon penlandii,30925,119140,0,150065,15,26700,5308
Pentachaeta bellidiflora,99211,3738,0,102949,8,71970,2157.5
Pentachaeta lyonii,406877,272086,19600,698563,15,146231,33200
Peperomia subpetiolata,54365,918,2796,58079,3,28699,19525
Peperomia wheeleri,105500,5514,0,111014,13,14500,11500
Percina antesella,715200,207807,94500,1017507,15,167500,53200
Percina aurolineata,457800,193326,51000,702126,15,187149,25700
Percina jenkinsi,353500,101465,64947,519912,15,75688,32000
Percina pantherina,1279383,789266,12439,2081088,15,333300,152741
Percina rex,1139473,4542303,258817,5940593,15,1178195,397146
Percina tanasi,444100,161478,25000,630578,15,164684,31000
Perognathus longimembris pacificus,1978480,2271063,67200,4316743,14,803606,289355
Peromyscus gossypinus allapaticola,341006,161316,0,502322,15,85375,25395
Peromyscus polionotus allophrys,1076358,669874,36911,1783143,14,172383,138728
Peromyscus polionotus ammobates,6421005,97741,5000,6523746,15,1318000,252247
Peromyscus polionotus niveiventris,817342,1165120,3775,1986237,15,260598,114570
Peromyscus polionotus peninsularis,1092121,546893,33094,1672108,15,282500,108621
Peromyscus polionotus phasma,492537,108837,3775,605149,14,142336,30765
Peromyscus polionotus trissyllepsis,4768221,743911,148501,5660633,15,3156728,190584
Peucedanum sandwicense,207942,26487,19788,254217,15,95000,7370
Phacelia argillacea,80657,152247,400,233304,14,51000,8250
Phacelia formosula,135716,106971,7055,249742,15,60411,7500
Phacelia insularis ssp. insularis,24946,104365,0,129311,15,18876,7500
Phacelia submutica,168787,181591,7055,357433,5,134366,54744
Phaeognathus hubrichti,893400,192875,193441,1279716,15,624257,31896
Phascolarctos cinereus,0,150,0,150,1,150,150
Phlox hirsuta,792251,3900,9400,805551,15,100027,46671
Phlox nivalis ssp. texensis,345100,2011735,28442,2385277,15,369087,98000
Phoca (=Pusa) hispida hispida,0,135594,0,135594,2,82383,67797
Phoca hispida saimensis,0,6343,0,6343,3,5723,500
Phoca largha,0,1054375,0,1054375,2,791875,527187.5
Phoebastria (=Diomedea) albatrus,7614130,1328118,500,8942748,15,1510214,489801
Phoxinus cumberlandensis,1647441,597390,3220,2248051,15,281028,143000
Phyllostegia bracteata,35906,2942,2796,41644,3,19843,11228
Phyllostegia floribunda,39358,747,0,40105,2,22140,20052.5
Phyllostegia glabra var. lanaiensis,46700,2177,3543,52420,15,12356,1700
Phyllostegia haliakalae,44133,24942,2796,71871,3,27200,22835
Phyllostegia hirsuta,102524,990291,8074,1100889,15,176981,72450
Phyllostegia hispida,531409,1577,4964,537950,7,213271,32429
Phyllostegia kaalaensis,100892,1251523,12551,1364966,15,199145,111284
Phyllostegia knudsenii,54240,1577,4143,59960,15,14028,3400
Phyllostegia mannii,264551,1577,9988,276116,15,145200,9749
Phyllostegia mollis,110414,993398,10583,1114395,15,295855,56242
Phyllostegia parviflora,133353,245945,27368,406666,15,143537,20261
Phyllostegia pilosa,43578,1042,2796,47416,3,17179,16741
Phyllostegia racemosa,495030,138980,20818,654828,15,164605,25254
Phyllostegia renovans,67059,1577,3388,72024,6,16159,13546
Phyllostegia velutina,442014,19955,15899,477868,15,146050,11277
Phyllostegia waimeae,95912,1577,5976,103465,15,21589,4000
Phyllostegia warshaueri,190036,1577,23386,214999,15,44492,9259
Phyllostegia wawrana,61521,2677,3443,67641,14,14030,3750
Physa natricina,1567879,2107896,6973,3682748,15,500448,218482
Physaria douglasii ssp. tuplashensis,38043,3367,800,42210,2,28494,21105
Physaria filiformis,82998,143603,9200,235801,6,61363,40255
Physaria globosa,78500,16540,1337,96377,2,65207,48188.5
Physaria obcordata,136906,183401,7055,327362,15,63094,16301
Physeter catodon (=macrocephalus),43023,20377806,48643,20469472,14,4262227,1647006.5
Picoides borealis,32569085,258196451,9742270,300507806,15,37900480,17915391
Pilosocereus robinii,363512,7831,81400,452743,15,164690,14720
Pinguicula ionantha,616894,424687,16600,1058181,15,437595,30100
Piperia yadonii,617128,694633,41600,1353361,15,266701,85300
Pipilo crissalis eremophilus,413165,1301253,3700,1718118,15,472133,72100
Pittosporum halophilum,49205,1142,2796,53143,3,19370,17021
Pittosporum hawaiiense,30011,5847,0,35858,2,21071,17929
Pittosporum napaliense,70252,1677,2796,74725,6,36667,8333.5
Pityopsis ruthii,244300,205426,0,449726,15,149500,17000
Plagiobothrys hirtus,707217,439830,21429,1168476,15,187336,77312
Plagiobothrys strictus,87854,300,0,88154,9,19342,10000
Plagopterus argentissimus,5895592,2954944,3348314,12198850,15,1284143,464306.5
Plantago hawaiensis,88666,59900,16641,165207,15,25049,10006
Plantago princeps,366582,1488799,36577,1891958,15,212810,136900
Platanthera holochila,276524,4965,9333,290822,15,66300,7900
Platanthera leucophaea,1235681,452697,171530,1859908,14,253670,130770.5
Platanthera praeclara,2113599,1389732,244454,3747785,15,350092,255255
Platydesma cornuta cornuta,49503,419,2796,52718,3,30395,13591
Platydesma cornuta decurrens,22441,419,2796,25656,3,9260,8300
Platydesma remyi,28068,747,0,28815,2,21244,14407.5
Platydesma rostrata,52768,5577,2796,61141,6,13676,11154.5
Pleodendron macranthum,72600,100,0,72700,14,19500,2750
Pleomele fernaldii,27657,1042,2796,31495,3,12271,10328
Pleomele forbesii,20623,1342,2796,24761,3,9767,8174
Pleomele hawaiiensis,263111,815751,33496,1112358,15,145985,62232
Plethobasus cicatricosus,88950,1980211,2011,2071172,15,561270,15222.5
Plethobasus cooperianus,619550,2208416,41866,2869832,15,341200,138177
Plethobasus cyphyus,303110,941813,42830,1287753,4,575095,270848
Plethodon neomexicanus,42000,6900,0,48900,2,25800,24450
Plethodon nettingi,322309,240198,70666,633173,15,87859,45251
Plethodon shenandoah,77389,622086,7100,706575,15,254431,26460
Pleurobema clava,1438850,3010319,427560,4876729,15,475560,164766
Pleurobema collina,1637540,498040,260723,2396303,15,368450,138216
Pleurobema curtum,51700,11069,13200,75969,12,29100,2641
Pleurobema decisum,364059,678470,62727,1105256,15,180623,61558
Pleurobema furvum,69700,205820,0,275520,15,152989,6177
Pleurobema georgianum,234950,128583,34000,397533,15,46500,26218
Pleurobema gibberum,288000,50300,0,338300,15,211281,6600
Pleurobema hanleyianum,46950,15636,3600,66186,6,17700,10775.5
Pleurobema marshalli,19200,13397,13200,45797,13,15300,2220
Pleurobema perovatum,177800,486039,53409,717248,15,156623,44000
Pleurobema plenum,939736,655884,44003,1639623,15,191172,65443
Pleurobema pyriforme,1197853,383981,33000,1614834,15,293600,99892
Pleurobema strodeanum,17269,242332,0,259601,3,123412,97282
Pleurobema taitianum,204550,156977,15709,377236,15,125561,10891
Pleurocera foremani,13900,2951,4000,20851,6,6400,3375
Pleuronaia dolabelloides,39200,16032,0,55232,2,39277,27616
Poa atropurpurea,1223745,579128,0,1802873,14,898137,32913.5
Poa mannii,50676,3187,3343,57206,14,10201,3600
Poa napensis,88539,400,0,88939,9,21292,10000
Poa sandvicensis,92476,3187,3935,99598,14,40910,3150
Poa siphonoglossa,87731,2777,3343,93851,14,41700,3350
Poeciliopsis occidentalis,1255648,9754619,1975980,12986247,15,2956265,667600
Pogogyne abramsii,136847,597634,4900,739381,15,172678,33405
Pogogyne nudiuscula,2316068,2500,0,2318568,13,1777199,1000
Polioptila californica californica,7419629,45280711,344800,53045140,15,34100889,1363671
Polyborus plancus audubonii,1986546,5936611,31500,7954657,15,1276652,437124
Polygala lewtonii,109101,495262,108600,712963,15,123250,30800
Polygala smallii,109000,78269,3100,190369,15,62890,3600
Polygonella basiramia,201301,404234,38859,644394,15,80884,37200
Polygonella myriophylla,225651,128801,18459,372911,14,75700,24000
Polygonum hickmanii,102006,850,0,102856,12,17361,10605
Polygyriscus virginianus,150312,46742,10875,207929,11,49600,18910
Polyphylla barbata,671286,775,0,672061,14,115800,44623.5
Polyscias bisattenuata,16271,0,0,16271,1,16271,16271
Polyscias flynnii,14344,0,0,14344,1,14344,14344
Polyscias gymnocarpa,5317,0,0,5317,1,5317,5317
Polyscias lydgatei,13071,0,0,13071,1,13071,13071
Polyscias racemosa,10375,0,0,10375,1,10375,10375
Polystichum aleuticum,250400,17588,0,267988,13,91000,15500
Polystichum calderonense,71900,100,0,72000,14,23500,4250
Polysticta stelleri,17985635,4807965,40235,22833835,15,2834912,1545430
